id;address_1;address_2;city;postcode;country
1;ذهنیت انفعالات کاره;زده فلزی سازی;مهرنوشدهکده;ورزش حساب ;سن
2;جهانی Cambridgeshire راهبردی;بازارها copy;پوریاناحیه;زرد وام نگ;نی
3;میز صورتحساب;Berkshire متصدی ساموآ;کاکاوندبندرگاه;اطلاعاتی;نر
4;پیتزا;محور;کلباسیبندر;خرمایی پزو;سر
5;سوسیس مبتنی Avon;Account یافته optical;شرق سپیداربندر;USB;عر
6;کارگر quantifying صریح;لاجوردی optical تازه;همایونبندرگاه;سبز صورتحس;با
7;معماری سپرده افزوده;توسعه پرداخت calculating;مقدمدژ;آرژانتین;چی
8;شناسایی;مدرس;شرق بهنوشدژ;Account;کو
9;آینده کرون;firewall;شرق مهوش;تمدید تداب;لت
10;کامپیوتر;open-source سیستان;شرق ارمغان;compressin;مو
